*******************************************************************************
 Revised: Dec 23, 2022           2015-056B Spacecraft / (Earth)         -140947
 
 Discarded Centaur Booster 2015-056B
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Dec 23 05:06:05 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 2015-056B (spacecraft) (-140947) {source: 2015-056B}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Dec-22 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-19 00:00:00.0000 TDB
Step-size       : 120 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221221.p230316
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-DEC-21. PREDICTS-> 2023-MAR-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459205.500000000, A.D. 2020-Dec-22 00:00:00.0000,  5.893028272463343E-01,  1.075412485138634E+04,  2.680047365407804E+01,  3.744175194567408E+01,  3.148580238776552E+02,  2.459205448098489E+06,  8.537121756024139E-03,  3.828293430376029E+01,  1.080556879124124E+02,  2.618504719494774E+04,  4.161596953850913E+04,  4.216877892668796E+04,
2459205.583333333, A.D. 2020-Dec-22 02:00:00.0000,  5.892699204526470E-01,  1.075568978700910E+04,  2.679993083065487E+01,  3.742129988833057E+01,  3.148874594607712E+02,  2.459205448098395E+06,  8.536284459555643E-03,  9.974049728209037E+01,  1.514240161250415E+02,  2.618675943788307E+04,  4.161782908875703E+04,  4.217291512550413E+04,
2459205.666666667, A.D. 2020-Dec-22 04:00:00.0000,  5.892345656617846E-01,  1.075681315499060E+04,  2.680167014617613E+01,  3.740616942722477E+01,  3.149081935954163E+02,  2.459205448094761E+06,  8.536049317213518E-03,  1.611999849087753E+02,  1.739539206178347E+02,  2.618724034635707E+04,  4.161766753772354E+04,  4.217407686176740E+04,
2459205.750000000, A.D. 2020-Dec-22 06:00:00.0000,  5.892250103579523E-01,  1.075710040312370E+04,  2.680353933423275E+01,  3.739407180563570E+01,  3.149238067002618E+02,  2.459205936217679E+06,  8.536005251395204E-03,  2.226624409567828E+02,  1.940345677907642E+02,  2.618733047135492E+04,  4.161756053958613E+04,  4.217429457897279E+04,
2459205.833333333, A.D. 2020-Dec-22 08:00:00.0000,  5.892599001472941E-01,  1.075617081693892E+04,  2.680501229096738E+01,  3.738558687012937E+01,  3.149366041698036E+02,  2.459205936210701E+06,  8.536024197296542E-03,  2.841266566479234E+02,  2.205540149435558E+02,  2.618729172242048E+04,  4.161841262790203E+04,  4.217420097215940E+04,
2459205.916666667, A.D. 2020-Dec-22 10:00:00.0000,  5.892919262061742E-01,  1.075346239081760E+04,  2.680031230889709E+01,  3.737664987911915E+01,  3.149633108837674E+02,  2.459205936210119E+06,  8.538250586473775E-03,  3.455827000282516E+02,  3.001557057392990E+02,  2.618273921787039E+04,  4.161201604492318E+04,  4.216320385001455E+04,
2459206.000000000, A.D. 2020-Dec-22 12:00:00.0000,  5.892893201746869E-01,  1.075461623456755E+04,  2.680053470502576E+01,  3.736435247020290E+01,  3.149883136602689E+02,  2.459205936214650E+06,  8.536957795248112E-03,  4.704763778083881E+01,  1.178804091433588E+02,  2.618538246714646E+04,  4.161614869972537E+04,  4.216958882008123E+04,
2459206.083333333, A.D. 2020-Dec-22 14:00:00.0000,  5.892516454488346E-01,  1.075622207893479E+04,  2.680082645510178E+01,  3.734471839492197E+01,  3.150165837058045E+02,  2.459205936213721E+06,  8.536220499776863E-03,  1.085050469035514E+02,  1.551510811767300E+02,  2.618689024497340E+04,  4.161755841101202E+04,  4.217323111667633E+04,
