*******************************************************************************
 Revised: Dec 22, 2022           2015-056B Spacecraft / (Earth)         -140947
 
 Discarded Centaur Booster 2015-056B
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Dec 22 14:49:32 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 2015-056B (spacecraft) (-140947) {source: 2015-056B}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Dec-22 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-19 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221220.p230315
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-DEC-20. PREDICTS-> 2023-MAR-14
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459205.500000000, A.D. 2020-Dec-22 00:00:00.0000,  5.893028272463343E-01,  1.075412485138634E+04,  2.680047365407804E+01,  3.744175194567408E+01,  3.148580238776552E+02,  2.459205448098489E+06,  8.537121756024139E-03,  3.828293430376029E+01,  1.080556879124124E+02,  2.618504719494774E+04,  4.161596953850913E+04,  4.216877892668796E+04,
2459206.500000000, A.D. 2020-Dec-23 00:00:00.0000,  5.892730704678744E-01,  1.075516058821589E+04,  2.680084352275086E+01,  3.728719028774826E+01,  3.151177410643760E+02,  2.459206424329210E+06,  8.536816290401039E-03,  5.581333156308729E+01,  1.257615295392391E+02,  2.618567182937698E+04,  4.161618307053808E+04,  4.217028781617228E+04,
2459207.500000000, A.D. 2020-Dec-24 00:00:00.0000,  5.892235024271661E-01,  1.075666842337894E+04,  2.680202199616092E+01,  3.713375876024689E+01,  3.153744096007439E+02,  2.459207400551622E+06,  8.536566461554072E-03,  7.334908005673223E+01,  1.379562280244465E+02,  2.618618272208160E+04,  4.161569702078427E+04,  4.217152196041855E+04,
2459208.500000000, A.D. 2020-Dec-25 00:00:00.0000,  5.891644911480655E-01,  1.075833600918905E+04,  2.680335777556805E+01,  3.698151479284554E+01,  3.156267470708793E+02,  2.459208376763698E+06,  8.536420890593484E-03,  9.089253557534012E+01,  1.473413251047774E+02,  2.618648042194026E+04,  4.161462483469148E+04,  4.217224110829562E+04,
2459209.500000000, A.D. 2020-Dec-26 00:00:00.0000,  5.891090332218245E-01,  1.075983938673207E+04,  2.680455505385488E+01,  3.683061118483098E+01,  3.158745059230311E+02,  2.459209352965677E+06,  8.536360044382763E-03,  1.084439165171346E+02,  1.551182650239947E+02,  2.618660485797660E+04,  4.161337032922112E+04,  4.217254170726938E+04,
2459210.500000000, A.D. 2020-Dec-27 00:00:00.0000,  5.890594926288149E-01,  1.076120384874448E+04,  2.680558110397853E+01,  3.668037438601594E+01,  3.161194314692688E+02,  2.459210329155854E+06,  8.536280129700377E-03,  1.260034690381527E+02,  1.619144444085129E+02,  2.618676829301801E+04,  4.161233273729154E+04,  4.217293651686147E+04,
2459211.500000000, A.D. 2020-Dec-28 00:00:00.0000,  5.890422889236210E-01,  1.076166175825241E+04,  2.680634311274145E+01,  3.653112097908827E+01,  3.163607592698536E+02,  2.459211305337097E+06,  8.536271324968979E-03,  1.435704785436370E+02,  1.681034000658115E+02,  2.618678629989811E+04,  4.161191084154381E+04,  4.217298001610888E+04,
2459212.500000000, A.D. 2020-Dec-29 00:00:00.0000,  5.890553316164915E-01,  1.076132726568314E+04,  2.680678612344014E+01,  3.638240897068879E+01,  3.166004980963403E+02,  2.459212281512021E+06,  8.536262932167412E-03,  1.611421201775307E+02,  1.739327616469268E+02,  2.618680346435417E+04,  4.161227966302521E+04,  4.217302148032519E+04,
